id,VehicleMake,Year
1150,ALFA ROMEO,1995
1151,ASTON,1995
1152,BENTLEY,1995
1153,DAIMLER,1995
1154,DODGE,1995
1155,FERRARI,1995
1156,Honda,1995
1157,Jaguar,1995
1158,LAMBORGHINI,1995
1159,Lancia,1995
1160,LAND ROVER,1995
1161,LEXUS,1995
1162,LOTUS,1995
1163,MASERATI,1995
1164,OPEL,1995
1165,Puma,1995
1166,RANGE ROVER,1995
1167,SUZUKI,1995
1168,Volvo,1995
1169,MITSUBISHI,1994
1170,Fiat,1994
1171,Hyundai,1994
1172,Subaru,1994
1173,Audi,1994
1174,Suzuki,1994
1175,Isuzu,1994
1176,MERCEDES-BENZ,1994
1177,OPEL,1994
1178,Porsche,1994
1179,Toyota,1994
1180,Volvo,1994
1181,VOLKSWAGEN,1994
1182,NISSAN,1994
1183,BMW,1994
1184,Ford,1994
1185,Mazda,1994
1186,FERRARI,1994
1187,Honda,1994
1188,ALFA ROMEO,1994
1189,ASTON,1994
1190,BENTLEY,1994
1191,DAIMLER,1994
1192,DODGE,1994
1193,JAGUAR,1994
1194,LAMBORGHINI,1994
1195,LANCIA,1994
1196,LAND ROVER,1994
1197,LEXUS,1994
1198,LOTUS,1994
1199,MASERATI,1994
1200,Puma,1994
1201,RANGE ROVER,1994
1202,Hyundai,1993
1203,Mazda,1993
1204,MERCEDES-BENZ,1993
1205,NISSAN,1993
1206,OPEL,1993
1207,Toyota,1993
1208,BMW,1993
1209,FERRARI,1993
1210,Isuzu,1993
1211,Porsche,1993
1212,VOLKSWAGEN,1993
1213,Ford,1993
1214,Fiat,1993
1215,SUZUKI,1993
1216,ALFA ROMEO,1993
1217,Honda,1993
1218,LEXUS,1993
1219,LAND ROVER,1993
1220,RANGE ROVER,1993
1221,ASTON,1993
1222,Audi,1993
1223,BENTLEY,1993
1224,DAIMLER,1993
1225,Jaguar,1993
1226,LAMBORGHINI,1993
1227,LANCIA,1993
1228,LOTUS,1993
1229,MASERATI,1993
1230,MITSUBISHI,1993
1231,Puma,1993
1232,Subaru,1993
1233,Ford,1992
1234,LAND ROVER,1992
1235,MASERATI,1992
1236,Mazda,1992
1237,Porsche,1992
1238,Subaru,1992
1239,Toyota,1992
1240,VOLKSWAGEN,1992
1241,MERCEDES-BENZ,1992
1242,NISSAN,1992
1243,OPEL,1992
1244,LAMBORGHINI,1992
1245,Honda,1992
1246,Lancia,1992
1247,MITSUBISHI,1992
1248,Isuzu,1992
1249,ASTON,1992
1250,Audi,1992
1251,BMW,1992
1252,Fiat,1992
1253,Jaguar,1992
1254,BENTLEY,1992
1255,DAIMLER,1992
1256,FERRARI,1992
1257,LOTUS,1992
1258,Puma,1992
1259,RANGE ROVER,1992
1260,OPEL,1991
1261,Toyota,1991
1262,Ford,1991
1263,Mazda,1991
1264,NISSAN,1991
1265,PORSCHE,1991
1266,Isuzu,1991
1267,LAND ROVER,1991
1268,RANGE ROVER,1991
1269,BMW,1991
1270,Honda,1991
